Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"раствор для тротуарной плитки";9;4;;;5808;242;70;3;3;6.7;231000;"plitkaekb.ru";"/kak-sdelat-rastvor-dlya-trotuarnoj-plitki/";
"песок для тротуарной плитки";4;4;;;9551;69;129;3;3;0.3;253000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/pesok-dlya-zasyipki-shvov-v-plitke-meshok-27-kg/";18
"бордюр тротуарный для садовых дорожек цена";6;6;;;124;52;3;3;3;0.3;990000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"сенеж био антисептик для древесины купить";19;6;;;146;102;3;3;3;29.4;903000;"plitkaekb.ru";"/stroitelnyie-materialyi/propitki-dlya-dereva/senezh-bio-kan/";0
"блок перегородочный купить в екатеринбурге";8;5;;1;38;10;16;11;3;79.5;926000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";
"ножовка по пенобетону";7;3;;;495;83;9;3;3;0.3;206000;"plitkaekb.ru";"/stroitelnyie-materialyi/ruchnoj-instrument/nozhovka-po-penobetonu-pila-stayer-cobra-beton/";
"как укладывать бехатон правильно";5;4;1;;6;5;3;3;3;0.3;2000;"plitkaekb.ru";"/texnologiya-ukladki-bruschatki/";0
"бетонная плитка типа брусчатка";5;4;;;95;11;5;3;3;0.3;650000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";0
"бетонирование площадки под автомобиль цена";11;5;;;184;83;4;3;3;0.3;2000;"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";0
"купить бехатон";2;2;;;315;4;184;3;3;3.9;882000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";2
"дорожная плитка";7;2;;;4201;180;54;3;3;41.5;2000;"plitkaekb.ru";"/trotuarnaya-plitka/morozostojkaya/";-3
"укладка брусчатки цена";7;3;;;4841;219;19;3;3;16.2;2000;"plitkaekb.ru";"/ukladka-pod-klyuch/";3
"камень бехатон";6;2;;;17;3;16;3;3;0.3;2000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";-2
"лопата совковая рельсовая сталь шт";9;5;;;15;5;3;3;3;0.3;2000;"plitkaekb.ru";"/stroitelnyie-materialyi/sad-i-ogorod/lopata-sovkovaya-iz-relsovoj-stali/";0
"плитка 500х500 тротуарная цена";2;4;;;70;8;4;3;3;60.7;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";0
"плитка храбрая ольховка";1;3;;;297;18;116;24;3;39.5;184000;"plitkaekb.ru";"/";0
"бордюр для дорожек на даче";1;5;;;538;39;14;3;3;48.5;483000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";20
"купить брусчатку";4;2;;;12001;236;74;9;3;26.2;808000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";2
"плитка для отмостки вокруг дома";1;5;;;423;108;7;3;3;76.5;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-otmostki-doma/";7
"плитка храбрая ольховка официальный сайт каталог";1;6;;;7;6;3;3;3;0.3;2000000;"plitkaekb.ru";"/";0
"плитка бехатон";1;2;;;185;6;105;3;3;12.3;216000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";5
"плитка тротуарная 500 500";7;4;;;777;14;9;5;3;44.2;21000;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/";-1
"плитка тротуарная от производителя";3;4;;;13117;42;275;12;3;231.6;2000;"plitkaekb.ru";"/trotuarnaya-plitka/";3
"купить брусчатку тротуарную";5;3;;;7433;416;86;5;3;35.5;15000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";3
"плитка кирпичик тротуарная";4;3;;;1722;30;77;24;3;64.3;222000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kirpich/";0
"брусчатка тротуарная цена за м2";2;5;;;1691;354;4;4;3;33.9;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";0
"купить шлакоблок в екатеринбурге от производителя с доставкой";3;8;;1;6;4;3;3;3;48.6;977000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";6
"цветная тротуарная плитка";6;3;;;1234;40;15;8;3;65.1;215000;"plitkaekb.ru";"/trotuarnaya-plitka/";
"брусчатка тротуарная купить";4;3;;;2901;182;26;4;3;276.7;953000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";0
"плитка для дорожек";6;3;;;37649;253;573;5;3;45.3;231000;"plitkaekb.ru";"/trotuarnaya-plitka/";-5
"бехатон цена";4;2;;;33;5;20;3;3;14.1;736000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";-1
"бортовые камни бетонные";9;3;;;3302;9;54;3;3;20.9;302000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"клей для плитки крепс усиленный 25 кг цена";5;8;;;86;10;8;4;3;35.2;2000000;"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/";
"уличная плитка для стен";8;4;;;32;3;4;3;3;7.7;634000;"plitkaekb.ru";"/obliczovochnyie-materialyi/";0
"ооо компания арго см";1;4;;;7;3;5;3;3;0.3;2000000;"plitkaekb.ru";"/";0
"тротуарный бордюр";2;2;;;12219;184;160;11;3;75.9;203000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";1
"полусфера это";5;2;;;1462;115;39;4;3;0.3;2000000;"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/";5
"труба 40х20х1 5";10;3;;;500;11;16;3;3;65.2;4000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/truba-profilnaya/";
"плитка тротуарная клевер";2;3;;;753;33;20;3;3;0.3;214000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";0
"бордюр дорожный цена";5;3;;;627;30;11;3;3;0.3;929000;"plitkaekb.ru";"/bordyuryi-i-elementyi/bordyur-dorozhnyij-vibropressovanie/";2
"тротуарная плитка екатеринбург купить от производителя";1;6;;1;131;16;69;13;3;481.2;758000;"plitkaekb.ru";"/trotuarnaya-plitka/";1
"декоративная плитка рваный камень";4;4;;;28;3;5;3;3;0.3;331000;"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka-rvanyij-kamen-162*247/";0
"плитка тротуарная 300х300х30";7;3;;;2353;181;71;7;3;295.2;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";2
"катушка плитка тротуарная";5;3;;;146;6;6;3;3;29.9;246000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";0
"плитка на дачу";6;3;;;16957;46;188;3;3;2.4;364000;"plitkaekb.ru";"/trotuarnaya-plitka/";4
"бетонные блоки стеновые";2;3;;;700;27;11;3;3;9.7;322000;"plitkaekb.ru";"/stenovyie-bloki/";4
"расценки на тротуарную плитку";2;4;;;259;4;8;3;3;0.3;338000;"plitkaekb.ru";"/polnyij-prajs-list/";0
"стеновые блоки для наружных стен";3;5;;;238;53;4;3;3;0.3;697000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"бордюр садовый";10;2;;;10364;606;115;9;3;67.9;197000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";
"бордюр тротуарный купить в екатеринбурге в леруа мерлен";6;8;;1;6;3;5;3;3;0.3;783000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";10
"клей ксб 17 брозекс купить екатеринбург";11;6;;1;6;6;3;3;3;10.4;3000000;"plitkaekb.ru";"/syipuchie-materialyi/kladochnaya-smes/kladochnaya-smes-brozeks-ksb-17/";0
"арго см";1;2;;;153;6;24;3;3;0.3;1000000;"plitkaekb.ru";"/";0
"плитка тротуарная 400х400х50 купить в екатеринбурге";3;6;;1;11;4;8;3;3;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/";0
"плитка тротуарная 500х500х50 купить";4;4;;;774;111;19;8;3;196.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/";0
"плитка тротуарная 300x300x30 мм калифорния серая";12;6;;;10;5;3;3;3;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";0
"блоки строительные";10;2;;;17388;182;334;11;3;51;409000;"plitkaekb.ru";"/stenovyie-bloki/";
"плитка уличная";3;2;;;13250;573;99;9;3;66.5;280000;"plitkaekb.ru";"/trotuarnaya-plitka/";7
"бордюр поребрик";5;2;;;7147;112;127;3;3;0.3;190000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";
"состав полимерно песчаной плитки";8;4;;;17;5;4;3;3;0.3;350000;"plitkaekb.ru";"/polimerpeschanaya-trotuarnaya-plitka/";0
"мраморный щебень купить в екатеринбурге";13;5;;1;7;3;4;3;3;0.3;860000;"plitkaekb.ru";"/syipuchie-materialyi/shcheben/mramornyij-shheben/";
"плитка для гаража";7;3;;;8140;140;165;3;3;0.3;184000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-garazha/";
"плитка на парковку";3;3;;;899;12;17;3;3;0.3;224000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-parkovki-avto/";2
"плитка у дома";3;3;;;567;8;15;3;3;0.3;862000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dvora-doma/";0
"бетонные кольца для канализации размеры и цены в екатеринбурге";3;9;;1;14;14;3;3;3;9.1;997000;"plitkaekb.ru";"/betonnye-kolca/";
"лоток канализационный";10;2;;;1412;34;24;3;3;56.1;206000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/";
"шлакоблок цена";8;2;;;10363;714;97;6;3;19.1;568000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"облицовочные";9;1;;;142343;23;2027;3;3;7.4;1000000;"plitkaekb.ru";"/obliczovochnyie-materialyi/";0
"тротуарная плитка 300х300х30";6;3;;;6771;208;149;18;3;24.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";3
"бордюр размер";2;2;;;2481;29;51;5;3;0.3;412000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";0
"тротуарная плитка в екатеринбурге";3;4;;1;793;4;470;9;3;154.5;167000;"plitkaekb.ru";"/trotuarnaya-plitka/";4
"сенеж био купить";9;3;;;102;12;12;3;3;0.3;749000;"plitkaekb.ru";"/stroitelnyie-materialyi/propitki-dlya-dereva/senezh-bio-kan/";
"как отмыть тротуарную плитку";7;4;1;;345;17;5;3;3;0.3;48000;"plitkaekb.ru";"/gryaz,-maslo,-kraska-chem-otmyit-trotuarnuyu-plitku-ot-raznyix-pyaten.html";
"бетонные блоки перегородочные";4;3;;;347;6;8;3;3;0.3;261000;"plitkaekb.ru";"/stenovyie-bloki/";0
"гидролика лотки водосточные";5;3;;;415;150;14;3;3;33.5;15000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/lotok-vodootvodnyij-plastikovyij-gidrolica-standart-dn100/";
"плитка тротуарная 500х500";2;3;;;424;33;15;3;3;6.2;997000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";1
"плитка тротуарная упаковка";2;3;;;26680;3;602;3;3;0.3;325000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";0
"500 500";10;2;;;4729278;197;83896;4972;3;89.4;504000;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/";-7
"утеплитель изобокс инсайд 1200х600х50";12;4;;;56;30;3;3;3;0.3;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/uteplitel/uteplitel-ekover-standart-50kg/";0
"блоки перегородочные межкомнатные стеновые купить";8;5;;;82;48;6;3;3;0.3;782000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";0
"утеплитель изобокс инсайд 1200х600х50";23;4;;;56;30;3;3;3;0.3;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/uteplitel/uteplitel-ekover-standart-50kg/";0
"купить бордюрный камень для садовых дорожек";2;6;;;68;39;4;3;3;36.4;821000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";7
"силиконовая смазка для труб канализации";7;5;;;96;26;3;3;3;11.9;262000;"plitkaekb.ru";"/stroitelnyie-materialyi/santexnika/silikonovaya-smazka-dlya-kanalizaczii-ostendorf-150gr/";0
"геотекстиль под тротуарную плитку цена";9;5;;;13;7;3;3;3;0.3;754000;"plitkaekb.ru";"/syipuchie-materialyi/geotekstil/geotekstil-plotnost-100-70-m-kv/";-3
"бехатон купить";1;2;;;62;3;34;3;3;0.3;712000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";4
"тротуарная плитка кирпичик";1;3;;;1032;38;43;3;3;58.3;184000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kirpich/";3
"каменные плиты для дорожек";3;4;;;80;49;4;4;3;0.3;266000;"plitkaekb.ru";"/trotuarnaya-plitka/";
"купить бехатон в екатеринбурге недорого от производителя";1;7;;1;3;3;4;4;3;0.3;765000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";6
"песок речной";8;2;;;17034;136;245;7;3;12.6;258000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/rechnoj-pesok-dekorativnyij/";
"храбрая плитка екатеринбург официальный сайт";1;5;;1;4;3;4;4;3;23.2;2000000;"plitkaekb.ru";"/";0
"тротуарная плитка старый город купить в екатеринбурге";4;7;;1;23;23;13;3;3;9.2;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";6
"брусчатка цена";5;2;;;5254;194;18;3;3;15;785000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";5
"тротуарная плитка для сада";3;4;;;44;4;4;3;3;0.3;450000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";0
"укладка тротуарной плитки цена за м2";7;6;;;4107;793;55;5;3;0.3;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/moshchenie-trotuarnoj-plitkoj/";2
"бордюр садовый бетонный купить";2;4;;;732;140;3;3;3;21.2;731000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";0
"бортик бассейна";7;2;;;2685;51;17;3;3;0.3;258000;"plitkaekb.ru";"/bordyurnyie-kamni-dlya-bassejna/";3
"садовый бордюр";7;2;;;9307;218;98;7;3;33.1;207000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";
"кольцо стеновое смотровых колодцев кс";12;5;;;1021;4;36;5;3;0.3;305000;"plitkaekb.ru";"/betonnye-kolca/stenovye-ks/";0
"бехатон катушка купить в екатеринбурге";9;5;;1;9;2;9;2;2;0.3;815000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";0
"продажа бордюров";5;2;;;496;6;6;2;2;0.3;681000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"укладка тротуарной плитки под ключ";7;5;;;3041;163;9;2;2;0.3;2000;"plitkaekb.ru";"/ukladka-pod-klyuch/";
"поребрик тротуарный размеры";4;3;;;514;59;5;2;2;0.3;662000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";11
"тротуарная плитка тучка 300х300х30";2;4;;;271;12;22;4;2;139.1;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-tuchka/";2
"сколько стоит мраморная крошка";10;4;1;;536;35;14;2;2;0.3;2000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/dolche-kroshka-mramornaya/";0
"желоб бетонный для стока воды цена";7;6;;;78;78;2;2;2;0.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/vodostok/";
"бетонная плитка 300х300х30";5;3;;;383;17;11;2;2;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";3
"песок для засыпки";2;3;;;1982;14;23;2;2;0.3;225000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/pesok-dlya-zasyipki-shvov-v-plitke-meshok-27-kg/";0
"тротуарная плитка 500х500х50 цена";2;4;;;3458;390;50;10;2;26;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";8
"классика плитка";6;2;;;1662;4;48;2;2;0.3;344000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/klassika/";0
"крыльцо для частного дома из тротуарной плитки";8;7;;;77;13;2;2;2;0.3;5000;"plitkaekb.ru";"/texnologiya-ukladki-plitki-na-kryilczo-doma/";0
"тротуарная плитка толщиной 30 мм";3;5;;;188;6;5;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-pautinka/";8
"блок перегородочный";6;2;;;8652;185;168;13;2;103;313000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";4
"плитка 500х500 тротуарная";3;3;;;1164;24;48;5;2;44.2;807000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";2
"тротуарная плитка купить в екатеринбурге недорого";2;6;;1;710;4;384;78;2;297.2;881000;"plitkaekb.ru";"/trotuarnaya-plitka/";-1
"перегородочный пеноблок купить";13;3;;;197;2;6;2;2;0.3;889000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";0
"тротуарная плитка 500х500х70";2;3;;;212;19;4;2;2;0.3;976000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";16
"плитка тротуарная краковская";2;3;;;1222;15;25;2;2;0.3;220000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";0
"водосток для отмостки купить";11;4;;;26;3;2;2;2;0.3;922000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/";0
"шлакоблок с облицовкой купить в екатеринбурге";2;6;;1;6;6;2;2;2;0.3;1000000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";0
"бетонные поребрики";2;2;;;817;17;27;4;2;0.3;199000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";3
"поребрика цена";5;2;;;2823;20;15;2;2;52.3;12000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";0
"плитка тротуарная фигурная";1;3;;;668;42;27;2;2;39;254000;"plitkaekb.ru";"/trotuarnaya-plitka/figurnaya/";0
"грядки из поребрика";5;3;;;55;5;2;2;2;0.3;10000;"plitkaekb.ru";"/bordyuryi-dlya-gryadok-vidyi,-xarakteristiki/";0
"блок бетонный стеновой";2;3;;;1063;20;13;5;2;58.2;323000;"plitkaekb.ru";"/stenovyie-bloki/";5
"изоспан в 70м2";15;3;;;273;18;4;2;2;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/izospan/";
"монтаж бетонного лотка";9;3;;;471;4;14;2;2;0.3;270000;"plitkaekb.ru";"/texnologiya-montazha-betonnyix-vodootvodnyix-lotkov/";0
"крепс короед";6;2;;;78;8;8;2;2;0.3;194000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/klej-kreps-usilennyij-meshok/";
"песок доставка";5;2;;;51960;80;339;3;2;74.3;541000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/";-2
"плитки резиновые для дорожек";10;4;;;2273;9;39;4;2;24.5;285000;"plitkaekb.ru";"/rezinovaya-trotuarnaya-plitka/";0
"бордюр купить екатеринбург";8;3;;1;949;3;614;7;2;147.8;2000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";-5
"брусчатка для дорожек";5;3;;;981;50;4;4;2;0.3;8000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";0
"плитки для садовых дорожек";7;4;;;6922;180;141;10;2;70.8;2000;"plitkaekb.ru";"/plitka-dlya-sadovyh-dorozhek-ot-zavoda/";-2
"брусчатка клевер цена за м2";4;5;;;28;8;3;2;2;0.3;2000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";0
"брусчатка тротуарная цена";7;3;;;7068;445;18;2;2;53.4;2000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";-1
"плитка тротуарная катушка";2;3;;;734;35;34;6;2;26.6;2000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";4
"клей плиточный крепс усиленный";11;4;;;139;10;17;5;2;31.1;2000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/klej-kreps-usilennyij-meshok/";
"клей для плитки крепс усиленный";10;5;;;897;46;101;15;2;14;2000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/klej-kreps-usilennyij-meshok/";
"тротуарная плитка цена за квадратный метр";6;6;;;3139;157;32;2;2;38;2000;"plitkaekb.ru";"/trotuarnaya-plitka/";-4
"плитка бетонная тротуарная декоративная брусчатка форма кирпичик толщина 60 мм цена";3;11;;;26;20;2;2;2;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/tip-izgotovleniya/vibropressovannaya/kirpich-vibropress-60/";0
"полусфера дорожная";13;2;;;299;9;4;2;2;0.3;291000;"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/";0
"бордюры тротуарные купить в екатеринбурге леруа мерлен";6;7;;1;6;2;4;2;2;0.3;777000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";
"портландцемент i 32 5н";12;4;;;295;10;9;2;2;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/portlandczement-meshok/";0
"плитка тротуарная 50х50";7;3;;;3426;76;41;2;2;74.6;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";0
"продам шлакоблок";6;2;;;122;10;2;2;2;0.3;564000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";0
"клей ксб 17 брозекс";11;4;;;33;4;8;3;2;50.7;2000000;"plitkaekb.ru";"/syipuchie-materialyi/kladochnaya-smes/kladochnaya-smes-brozeks-ksb-17/";
"изоспан rs";8;2;;;587;174;8;2;2;0.3;224000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/izospan/";
"крепсс";12;1;;;860;73;27;2;2;10.8;5000000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/klej-kreps-usilennyij-meshok/";0
"плитка для двора частного дома";3;5;;;723;91;7;2;2;4.8;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dvora-doma/";-1
"тротуарная плитка екатеринбург цена за м2";3;6;;1;108;2;51;2;2;0.3;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"тротуарная плитка цена за м2";2;5;;;4511;124;25;5;2;150.2;3000000;"plitkaekb.ru";"/trotuarnaya-plitka/";4
"работы по бетонированию площадки цена за м2";12;7;;;15;12;2;2;2;0.3;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";0
"бетонирование двора частного дома цена";7;5;;;182;102;2;2;2;0.3;2000000;"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";-1
"старый город тротуарная плитка";3;4;;;3032;21;44;15;2;156.8;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";
"рваный камень для наружной отделки";4;5;;;136;53;3;3;2;0.3;258000;"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka-rvanyij-kamen-162*247/";6
"тротуарная плитка с желобом";3;4;;;37;2;4;2;2;0.3;210000;"plitkaekb.ru";"/texnologiya-montazha-betonnyix-vodootvodnyix-lotkov/";0
"лоток дренажный";9;2;;;2731;73;35;5;2;102.5;363000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/";
"плитка на дорожки на даче купить";6;6;;;698;14;6;2;2;24.3;699000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";-1
"купить блоки перегородочные";9;3;;;1681;12;39;2;2;0.3;963000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";0
"храбрая плитка ольховка екатеринбург сайт";1;5;;1;3;2;3;2;2;0.3;2000000;"plitkaekb.ru";"/";0
"стоимость работ по укладке тротуарной плитки";7;6;;;474;48;6;3;2;9.9;1000000;"plitkaekb.ru";"/ukladka-pod-klyuch/";1
"бордюрный камень для бассейна";8;4;;;103;27;4;2;2;0.3;309000;"plitkaekb.ru";"/bordyurnyie-kamni-dlya-bassejna/";
"вибропрессованный кирпич";6;2;;;349;41;17;5;2;8.6;204000;"plitkaekb.ru";"/trotuarnaya-plitka/tip-izgotovleniya/vibropressovannaya/trotuarnaya-plitka-kirpich-vibropressovannyij/";23
"фанера 4 4";7;3;;;12635;49;306;15;2;28.4;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/listovoj-material/fanera-sort-4-neshlifovann/";0
"тротуарная плитка пропускающая воду";8;4;;;27;2;2;2;2;0.3;479000;"plitkaekb.ru";"/rezinovaya-trotuarnaya-plitka/";0
"плитка старый город тротуарная купить";4;5;;;483;34;6;4;2;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";0
"плитка тротуарная под дерево";4;4;;;655;56;13;7;2;27.2;262000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/kaliforniya-derevo/";21
"купить бетонный поребрик";2;3;;;178;4;7;3;2;42.7;18000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"профиль ппн";8;2;;;1361;80;57;2;2;23.7;403000;"plitkaekb.ru";"/stroitelnyie-materialyi/profil-dlya-gkl/profil-napravlyayushhij-ppn/";
"брусчатка клевер краковский фото";1;4;;;11;7;2;2;2;34;790000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/klever-krakovskij-bolshoj/";0
"что такое бортик в бассейне";3;5;1;;9;7;2;2;2;0.3;97000;"plitkaekb.ru";"/bordyurnyie-kamni-dlya-bassejna/";0
"плитка тротуарная 30 на 30";3;5;;;2146;157;32;3;2;13.6;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";9
"поребрик купить";4;2;;;6762;258;41;4;2;0.3;18000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";13
"плитка для тротуара";3;3;;;1440;74;18;3;2;43.7;11000;"plitkaekb.ru";"/trotuarnaya-plitka/";5
"сколько добавлять пластификатора в бетон для тротуарной плитки";2;8;1;;18;9;2;2;2;0.3;1000000;"plitkaekb.ru";"/kak-vyibrat-plastifikator-dlya-trotuarnoj-plitki/";0
"устройство крыльца из тротуарной плитки";6;5;;;4;2;2;2;2;0.3;356000;"plitkaekb.ru";"/texnologiya-ukladki-plitki-na-kryilczo-doma/";0
"бордюрные блоки цена и размеры и фото";3;7;;;12;6;2;2;2;6.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
