Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"плитка кирпичик тротуарная";5;3;;;1722;30;77;24;3;64.3;222000;"www.betongrupp-ekb.ru";"/catalog/k-8257150-kirpichik";0
"вентиляционный блок из бетона";9;4;;;30;14;3;3;3;0.3;325000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok";-8
"топпинг для бетонного пола купить в екатеринбурге";7;7;;1;6;5;3;3;3;0.3;199000;"www.betongrupp-ekb.ru";"/catalog/k-8917759-topping_dlya_betonnykh_polov";
"тротуарная плитка 12 кирпичей серая 500х500х50 мм";10;7;;;42;3;4;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576701-12_kirpichey";0
"подножник железобетонный";10;2;;;155;6;7;3;3;0.3;513000;"www.betongrupp-ekb.ru";"/goods/199878979-podnozhnik_zh_b_vysota_900_mm_diametr_1200_mm_ves_2_tn";0
"опора пкб 4 6";13;4;;;5;4;4;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"бехатон цена";5;2;;;33;5;20;3;3;14.1;736000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-1
"эбк 2";7;2;;;361;32;22;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";-4
"плитка морской берег";7;3;;;26;5;23;6;3;0.3;390000;"www.betongrupp-ekb.ru";"/catalog/k-9206463-morskoy_bereg";-3
"кирпич м75";8;2;;;391;28;13;3;3;0.3;843000;"www.betongrupp-ekb.ru";"/goods/67210680-kirpich_polutorny_m75";0
"карьер становая";9;2;;;20;3;4;4;3;46.4;392000;"www.betongrupp-ekb.ru";"/goods/68856367-pesok_stroitelny_stanovaya";
"полистеролблок";12;1;;;231;7;250;250;3;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"плитка тротуарная клевер";5;3;;;753;33;20;3;3;0.3;214000;"www.betongrupp-ekb.ru";"/catalog/k-5576708-klever";0
"опора деревянная";2;2;;;16531;48;830;5;3;62.1;258000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";7
"бочкарихинский карьер";6;2;;;34;4;11;3;3;0.3;292000;"www.betongrupp-ekb.ru";"/goods/68856326-pesok_stroitelny_bochkarikhinski_g_bogdanovich";1
"песок цена за тонну с доставкой";10;6;;;484;171;4;3;3;0.3;809000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";0
"пескоблок купить в екатеринбурге от производителя";2;6;;1;10;7;6;4;3;0.3;752000;"www.betongrupp-ekb.ru";"/catalog/k-5576736-peskoblok";0
"щебень в биг бэгах купить в екатеринбурге";6;7;;1;5;3;6;6;3;27.4;856000;"www.betongrupp-ekb.ru";"/goods/160630022-shcheben_fr_20_40_v_big_begakh_po_1000_kg";1
"дресва купить в екатеринбурге";11;4;;1;14;3;14;3;3;11.7;851000;"www.betongrupp-ekb.ru";"/goods/46481080-dresva_s_dostavkoy";
"бехатон купить";5;2;;;62;3;34;3;3;0.3;712000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";1
"купить гранитный отсев с доставкой";4;5;;;72;5;3;3;3;0.3;887000;"www.betongrupp-ekb.ru";"/catalog/k-223143-otsev";0
"плита перекрытия пт 40 12";12;5;;;7;3;7;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/66149340-plity_perekrytiya_ploskiye_ptp_40_12_3980_1190_160";0
"битумная эмульсия для бетона";7;4;;;10;3;3;3;3;0.3;240000;"www.betongrupp-ekb.ru";"/catalog/k-5577909-bitumnaya_emulsiya";0
"битумная эмульсия для асфальта";5;4;;;370;167;7;7;3;0.3;216000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";0
"щебень в биг бэгах";8;4;;;743;78;33;3;3;28.2;159000;"www.betongrupp-ekb.ru";"/goods/160630022-shcheben_fr_20_40_v_big_begakh_po_1000_kg";-4
"бордюр тротуарный купить в екатеринбурге в леруа мерлен";4;8;;1;6;3;5;3;3;0.3;783000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";6
"бочкариха карьер";7;2;;;9;5;8;8;3;0.3;235000;"www.betongrupp-ekb.ru";"/goods/68856326-pesok_stroitelny_bochkarikhinski_g_bogdanovich";-4
"деревянные опоры лэп";5;3;;;1595;79;64;39;3;68;346000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";
"щебень вторичный 40 70";10;4;;;107;26;3;3;3;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223145-shcheben";0
"песок в биг бэгах купить";10;5;;;294;46;13;4;3;25.8;742000;"www.betongrupp-ekb.ru";"/goods/155875678-pesok_stroitelny_v_big_begakh_po_1000_kg";-7
"катушка плитка тротуарная";8;3;;;146;6;6;3;3;29.9;246000;"www.betongrupp-ekb.ru";"/catalog/k-5576713-katushka";0
"вентиляционный блок";8;2;;;3552;96;113;22;3;39.6;358000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok";-1
"купить отсев в мешках в екатеринбурге с доставкой цена";13;9;;1;7;4;5;3;3;8.1;1000000;"www.betongrupp-ekb.ru";"/goods/155875640-otsev_granitny_v_meshkakh_mkr_po_1_tonne";-6
"газонная решетка бетонная";10;3;;;1247;88;20;3;3;0.3;199000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";
"тротуарная плитка кирпичик";4;3;;;1032;38;43;3;3;58.3;184000;"www.betongrupp-ekb.ru";"/catalog/k-5576739-kirpich";-1
"тротуарная плитка катушка";5;3;;;758;55;37;13;3;419.7;261000;"www.betongrupp-ekb.ru";"/catalog/k-5576740-katushka";-3
"купить бехатон в екатеринбурге недорого от производителя";3;7;;1;3;3;4;4;3;0.3;765000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";3
"купить опору лэп деревянную в екатеринбурге";5;6;;1;14;3;5;3;3;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"купить бордюрный камень для садовых дорожек";8;6;;;68;39;4;3;3;36.4;821000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";
"горячий асфальт цена за 1 тонну";9;6;;;20;13;4;3;3;5.2;3000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";0
"стоимость песка";10;2;;;8704;338;53;7;3;151.4;546000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"тротуарная плитка тактильная";3;3;;;750;3;12;3;3;0.3;244000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya";0
"цена песка за 1 тонну";6;5;;;380;49;11;11;3;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"фундаментные блоки фбс с регулировкой по высоте";6;7;;;18;7;3;3;3;0.3;414000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs";0
"асфальт холодный цена";11;3;;;513;3;6;3;3;8.8;905000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";0
"бордюр садовый бетонный купить";1;4;;;732;140;3;3;3;21.2;731000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"плитка тротуарная катушка";6;3;;;734;35;34;6;2;26.6;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576713-katushka";-2
"блоки пенополистирольные цена";9;3;;;77;22;14;2;2;0.3;824000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";0
"купить полистеролбетоновые блоки в свердловской области";12;6;;1;2;2;2;2;2;24;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";0
"брусчатка клевер цена за м2";8;5;;;28;8;3;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576708-klever";0
"купить щебень в биг бегах";7;5;;;77;15;5;2;2;0.3;852000;"www.betongrupp-ekb.ru";"/goods/160630022-shcheben_fr_20_40_v_big_begakh_po_1000_kg";-2
"тротуарная плитка тучка 300х300х30";10;4;;;271;12;22;4;2;139.1;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576723-tuchka";-5
"раствор на отсеве м200";14;4;;;14;3;7;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/goods/36381045-rastvor_na_otseve_m_200";-11
"плитка тротуарная 500х500х50 в леруа мерлен";4;6;;;460;121;10;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/154808516-trotuarnaya_plitka_gladkaya_500kh500kh50_tsvet_sery";1
"купить битумную эмульсию";7;3;;;1606;26;47;8;2;2.7;839000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";-6
"вес битумной эмульсии";10;3;;;193;17;6;3;2;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-11268664-emulsiya_bitumnaya_dorozhnaya_v_bochkakh";0
"смесь песчано гравийная природная цена";8;5;;;68;8;4;2;2;0.3;822000;"www.betongrupp-ekb.ru";"/goods/23888370-peschano_graviynaya_smes";0
"бетонная плитка 300х300х30";12;3;;;383;17;11;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/62059557-trotuarnaya_plitka_tuchka_300kh300kh30_seraya";-7
"бордюр дорожный 1000х300х150 цена в екатеринбурге";2;6;;1;4;3;2;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-10098572-dorozhny/ph:404734_1000kh300kh150-mm";7
"плитка бетонная 500х500х50 цена";2;4;;;262;67;4;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576704-gladkaya/ph:404734_500kh500kh50-mm";0
"тротуарная плитка для газона";10;4;;;41;6;2;2;2;67.9;231000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";-7
"блок для вентиляционных каналов купить";9;5;;;7;3;2;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok";0
"топпинг екатеринбург";9;2;;1;97;2;58;2;2;0.3;381000;"www.betongrupp-ekb.ru";"/catalog/k-8917757-promyshlennyye_poly_king_floor";
"холодный асфальт 33кг";6;3;;;8;2;2;2;2;0.3;999000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";0
"земля в биг бэгах купить в екатеринбурге";2;7;;1;2;2;2;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/goods/160630443-plodorodnaya_zemlya_v_big_begakh_po_1000_kg";0
"бордюр 30 см";11;3;;;195;4;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"плитка старый город тротуарная купить";2;5;;;483;34;6;4;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";0
"тротуарная плитка цена за квадратный";11;5;;;3661;57;37;2;2;0.3;907000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka";0
"плитка тротуарная 500х500х50 в леруа мерлен цена";7;7;;;156;80;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/154808516-trotuarnaya_plitka_gladkaya_500kh500kh50_tsvet_sery";
"тротуарная плитка цены в екатеринбурге";10;5;;1;210;2;88;2;2;12;800000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka";0
"керамзитобетон 800 кг м3";5;4;;;20;4;3;2;2;0.3;14000;"www.betongrupp-ekb.ru";"/catalog/k-223135-keramzitobeton";0
"мелкий щебень в мешках";10;4;;;465;25;12;2;2;0.3;291000;"www.betongrupp-ekb.ru";"/goods/155875696-shcheben_fr_5_20_v_meshkakh_mkr_po_1_tonne";0
"тротуарная плитка 500х500х70";3;3;;;212;19;4;2;2;0.3;976000;"www.betongrupp-ekb.ru";"/goods/61988695-trotuarnaya_plitka_kvadrat_500kh500kh70_seraya";1
"плитка тротуарная полимерная купить";9;4;;;1374;15;15;2;2;0.3;835000;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya";-1
"поребрика цена";6;2;;;2823;20;15;2;2;52.3;12000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"асфальт купить цена за 1 тонну";12;6;;;93;57;8;2;2;15.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"бордюрный камень 1000 200 80";5;5;;;58;3;2;2;2;0.3;909000;"www.betongrupp-ekb.ru";"/goods/141141168-bordyur_trotuarny_br_100_20_8_1000kh200kh80_tsvet_sery";0
"стоимость полистиролбетонных блоков";9;3;;;13;2;5;2;2;0.3;586000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";13
"пщс купить";10;2;;;621;21;41;2;2;10.6;861000;"www.betongrupp-ekb.ru";"/catalog/k-5577925-peschano_shchebenochnaya_smes_pshchs";0
"опоры деревянные";3;2;;;18405;28;651;14;2;52.7;284000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";5
"деревянные опоры лэп купить";4;4;;;146;16;20;2;2;0.3;953000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";1
"полусфера дорожная";11;2;;;299;9;4;2;2;0.3;291000;"www.betongrupp-ekb.ru";"/catalog/k-5576699-polusfery";0
"вибропрессованный кирпич";10;2;;;349;41;17;5;2;8.6;204000;"www.betongrupp-ekb.ru";"/goods/155882617-kirpich_betonny_odinarny_vibropressovanny_ot_proizvoditelya";-4
"плитка тротуарная клевер краковский купить";3;5;;;48;2;7;2;2;0.3;803000;"www.betongrupp-ekb.ru";"/catalog/k-8041231-krakovski_klever";0
"мокрый асфальт в мешках цена";6;5;;;95;66;4;2;2;0.3;982000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";0
"песок бочкариха";1;2;;;5;2;5;2;2;64.2;200000;"www.betongrupp-ekb.ru";"/goods/68856326-pesok_stroitelny_bochkarikhinski_g_bogdanovich";1
"холодный асфальт екатеринбург купить";7;4;;1;362;2;247;4;2;50.4;916000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";-2
"столбы для лэп железобетонные цена";13;5;;;5;4;2;2;2;0.3;932000;"www.betongrupp-ekb.ru";"/catalog/k-5578828-opory_lep";0
"отсев стоимость за куб";8;4;;;40;7;6;2;2;0.3;814000;"www.betongrupp-ekb.ru";"/catalog/k-223143-otsev";
"купить бетонный поребрик";3;3;;;178;4;7;3;2;42.7;18000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"бордюры тротуарные купить в екатеринбурге леруа мерлен";4;7;;1;6;2;4;2;2;0.3;777000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";5
"поребрик купить";10;2;;;6762;258;41;4;2;0.3;18000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";17
"старый город тротуарная плитка";6;4;;;3032;21;44;15;2;156.8;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";-5
"стоимость асфальта тип б марка 2";5;6;;;5;2;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";0
"бордюры для тротуарной плитки цена леруа мерлен";8;7;;;33;23;2;2;2;0.3;793000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";0
"бордюрные блоки цена и размеры и фото";9;7;;;12;6;2;2;2;6.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"клевер плитка";4;2;;;1025;5;26;2;2;0.3;205000;"www.betongrupp-ekb.ru";"/catalog/k-5576708-klever";-1
"бетонные решетки для парковки цена";3;5;;;40;6;2;2;2;0.3;785000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
"асфальт мелкозернистый тип а марка 1 цена";2;7;;;10;10;2;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";0
"песок речной в мешках";4;4;;;557;19;27;2;2;0.3;265000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg";2
"бетонно растворные смеси";3;3;;;359;3;10;2;2;0.3;210000;"www.betongrupp-ekb.ru";"/catalog/k-223132-betonno_rastvornyye_smesi";0
"плитка катушка";3;2;;;427;13;19;2;2;0.3;187000;"www.betongrupp-ekb.ru";"/catalog/k-5576713-katushka";2
"бетон в20 f150 w4 цена";13;5;;;28;6;2;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-223133-beton_tovarny";0
"песок речной мытый";9;3;;;512;68;8;2;2;30;400000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg";0
"84 15";7;2;;;34367;36;594;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22208160-plita_perekrytiya_pb_84_15_8";
"плитка тротуарная старый город цена за м2";10;7;;;23;6;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";0
"купить щебень 40 70";9;4;;;630;52;15;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-223145-shcheben";-2
"купить нерудные материалы";8;3;;;261;34;4;2;2;156.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223137-sypuchiye_stroitelnyye_materialy";0
"абс асфальт";5;2;;;377;10;2;2;2;0.3;859000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";0
"инертные материалы екатеринбург";4;3;;1;13;2;9;2;2;25.1;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223137-sypuchiye_stroitelnyye_materialy";0
"бихотон";6;1;;;10;3;8;2;2;0.3;1000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-1
"песок строительный в биг бэгах купить";7;6;;;11;2;2;2;2;0.3;783000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok/ph:757959_v-bigh-bieghakh";-5
"бетонная тротуарная плитка";10;3;;;8216;3679;74;7;2;93.2;211000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka";-4
"плита трамвайная";4;2;;;685;14;19;7;2;0.3;184000;"www.betongrupp-ekb.ru";"/catalog/k-7123675-tramvaynaya";1
"56 12";12;2;;;152968;100;2202;3;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22285960-plita_perekrytiya_pk_56_12_8";0
"бетон групп";1;2;;;1345;18;47;4;2;2.6;736000;"www.betongrupp-ekb.ru";"/";0
"купить уголь дпк";9;3;;;265;14;9;2;2;5;835000;"www.betongrupp-ekb.ru";"/goods/155937841-ugol_kamenny_marki_dpko_fr_50_200_v_meshkakh_po_25_kg";0
"газонная тротуарная плитка";10;3;;;183;7;4;2;2;0.3;149000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
"забор цементный";6;2;;;248;6;8;2;2;0.3;207000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni";0
"пенополистирол блоки купить";6;3;;;182;11;13;4;2;55.8;891000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";0
"тротуарная плитка кирпич";4;3;;;1702;43;45;2;2;21.3;235000;"www.betongrupp-ekb.ru";"/catalog/k-5576739-kirpich";-1
"сборные фундаменты";6;2;;;6380;18;76;5;2;0.3;261000;"www.betongrupp-ekb.ru";"/catalog/k-10050862-fundament_sborny_seriya_1_020_1_87";
"пескоблоки";6;1;;;5885;102;57;10;2;90;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576736-peskoblok";0
"асфальт в мешках купить в екатеринбурге";8;6;;1;76;6;32;2;2;5.5;788000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";-4
"карьер красное болото";1;3;;;17;5;10;10;2;0.3;518000;"www.betongrupp-ekb.ru";"/goods/20864969-pesok_stroitelny_myty_g_bogdanovich_krasnoye_boloto";0
"вентблоки купить в екатеринбурге";5;4;;1;3;2;7;7;2;69.6;842000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok";-3
"песок в биг бегах цена";6;5;;;22;13;2;2;2;26.2;791000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok/ph:757959_v-bigh-bieghakh";-3
"бордюр для клумбы бетонный";2;4;;;126;7;2;2;2;0.3;195000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"балка бл1";10;2;;;9;2;3;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-3688358-lestnichnyye_balki";0
"деревянные шпалы и переводные брусья";12;5;;;178;2;3;2;2;0.3;235000;"www.betongrupp-ekb.ru";"/catalog/k-12012833-shpala_propitannaya_i_brus_perevodnoy";0
"кирпич марка 75";8;3;;;271;8;7;2;2;0.3;557000;"www.betongrupp-ekb.ru";"/goods/67210680-kirpich_polutorny_m75";0
"плитка новый город";6;3;;;1938;114;62;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-10758359-novy_gorod";-3
"купить полимерпесчаную тротуарную плитку";12;4;;;695;36;36;9;2;45.7;668000;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya";
"авито жб кольца";8;3;;;118;2;4;2;2;0.3;399000;"www.betongrupp-ekb.ru";"/catalog/k-474201-elementy_kolodtsa";
"уголь в мешках для отопления";9;5;;;288;20;25;2;2;0.3;238000;"www.betongrupp-ekb.ru";"/goods/155937841-ugol_kamenny_marki_dpko_fr_50_200_v_meshkakh_po_25_kg";0
"сколько стоит асфальт";9;3;1;;5955;293;61;2;2;0.3;772000;"www.betongrupp-ekb.ru";"/catalog/k-805677-goryachaya_asfaltobetonnaya_smes";-1
"плитка тротуарная старый город купить";10;5;;;1529;59;46;18;2;56.5;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";0
"вибролитая тротуарная плитка";6;3;;;773;47;34;7;2;15.9;173000;"www.betongrupp-ekb.ru";"/catalog/k-4078057-vibrolitaya_trotuarnaya_plitka";-5
"плитка катушка тротуарная";4;3;;;137;7;9;2;2;0.3;242000;"www.betongrupp-ekb.ru";"/catalog/k-5576713-katushka";-2
"плитка тротуарная под траву газонную";5;5;;;19;12;2;2;2;25.1;229000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
"тротуарная плитка 500х500х50 цена";5;4;;;3458;390;50;10;2;26;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576704-gladkaya/ph:404734_500kh500kh50-mm";-1
"купить пескобетонные блоки";4;3;;;242;16;6;2;2;44.9;864000;"www.betongrupp-ekb.ru";"/catalog/k-5576736-peskoblok";0
"пескоблок";4;1;;;4568;279;46;6;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576736-peskoblok";1
"бехатон катушка купить в екатеринбурге";8;5;;1;9;2;9;2;2;0.3;815000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"бетон жби";9;2;;;740;4;16;2;2;0.3;321000;"www.betongrupp-ekb.ru";"/";-1
"опора для проводов на даче";10;5;;;9;5;4;2;2;6.4;380000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"свая железобетонная 300х300 цена";7;4;;;17;6;2;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8378209-svai_300_300";-4
"блок вентиляционный бетонный";5;3;;;116;12;19;3;2;2.5;290000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok";1
"купить плитку тротуарную бехатон в екатеринбурге недорого";7;7;;1;2;2;2;2;2;0.3;711000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"плитка тротуарная краковская";4;3;;;1222;15;25;2;2;0.3;220000;"www.betongrupp-ekb.ru";"/catalog/k-8041231-krakovski_klever";0
"становая карьер";10;2;;;42;2;2;2;2;46.4;389000;"www.betongrupp-ekb.ru";"/goods/68856367-pesok_stroitelny_stanovaya";0
"известковый раствор купить в екатеринбурге";4;5;;1;8;2;6;3;2;17.1;737000;"www.betongrupp-ekb.ru";"/catalog/k-826894-rastvor_izvestkovy";-2
"лоток л 12";21;3;;;170;3;10;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-472371-lotki_zhelezobetonnyye_po_serii_3_006_1_2_87";0
"брусчатка старый город серая";7;4;;;69;19;2;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";0
"кирпич бордюрный купить";7;3;;;4;2;2;2;2;0.3;706000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"холодный асфальт от производителя";5;4;;;65;8;2;2;2;0.3;474000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";9
"асфальтобетонная смесь";2;2;;;14616;225;202;9;2;0.3;187000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"бетонные лотки для отвода воды купить в екатеринбурге";12;8;;1;5;4;6;6;2;214.9;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny";-9
"асфальт купить";7;2;;;8941;98;129;8;2;35.6;717000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"бетонные поребрики";5;2;;;817;17;27;4;2;0.3;199000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";
"песок в биг бэгах";11;4;;;753;69;20;2;2;0.3;281000;"www.betongrupp-ekb.ru";"/goods/155875678-pesok_stroitelny_v_big_begakh_po_1000_kg";-7
"желоб бетонный для стока воды цена";4;6;;;78;78;2;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny";
"сухой асфальт в мешках купить в леруа мерлен";9;8;;;78;34;3;3;2;9.2;909000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";0
"столбы наборные для забора бетонные";6;5;;;173;14;8;2;2;0.3;237000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni";0
"бетонные ступеньки";9;2;;;1856;22;37;2;2;0.3;211000;"www.betongrupp-ekb.ru";"/catalog/k-475573-stupeni";0
"бетонные пеньки";10;2;;;272;6;5;2;2;2.8;193000;"www.betongrupp-ekb.ru";"/catalog/k-5576717-penek_dereva";0
"купить речной песок в екатеринбурге в мешках";10;7;;1;27;2;14;2;2;30.9;756000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg";-7
"газонная решетка бетон";3;3;;;159;9;5;2;2;13.2;201000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
