запрос;частота WS;материал;интент
"""щебень верхняя пышма с доставкой""";5;Щебень;Купить/доставка
"""щебень асбест купить с доставкой""";5;Щебень;Купить/доставка
"""щебень с доставкой верхняя пышма""";5;Щебень;Купить/доставка
"""щебень купить полевской с доставкой""";5;Щебень;Купить/доставка
"""верхняя пышма доставка щебень отсев""";5;Отсев;Купить/доставка
"""доставка щебня верхняя пышма цена""";5;Щебень;Цена
"""отсев щебень екатеринбург с доставкой""";5;Отсев;Купить/доставка
"""отсев щебень с доставкой екатеринбург""";5;Отсев;Купить/доставка
"""ревда щебень цена с доставкой""";5;Щебень;Цена
"""щебень ревда цена с доставкой""";5;Щебень;Цена
"""щебень с доставкой ревда цена""";5;Щебень;Цена
"""щебень отсев с доставкой екатеринбург""";5;Отсев;Купить/доставка
"""доставка щебня и отсева екатеринбург""";5;Отсев;Купить/доставка
"""доставка отсева и екатеринбург щебня""";5;Отсев;Купить/доставка
"""авито щебень екатеринбург с доставкой""";5;Щебень;Купить/доставка
"""купить щебень с доставкой первоуральск""";5;Щебень;Купить/доставка
"""щебень с доставкой екатеринбург авито""";5;Щебень;Купить/доставка
"""щебень дегтярск купить с доставкой""";5;Щебень;Купить/доставка
"""доставка щебня в екатеринбурге недорого""";5;Щебень;Купить/доставка
"""доставка щебня каменск уральский авито""";5;Щебень;Купить/доставка
"""доставка щебня отсева каменск уральский""";5;Отсев;Купить/доставка
"""щебень с доставкой асбест цена""";5;Щебень;Цена
"""щебень с доставкой в арамиль""";5;Щебень;Купить/доставка
"""щебень с доставкой в первоуральске""";5;Щебень;Купить/доставка
"""щебень в первоуральске с доставкой""";5;Щебень;Купить/доставка
"""щебень билимбай цена с доставкой""";5;Щебень;Цена
"""щебень купить арамиль с доставкой""";5;Щебень;Купить/доставка
"""гранитный щебень екатеринбург с доставкой""";5;Щебень;Купить/доставка
"""купить щебень арамиль с доставкой""";5;Щебень;Купить/доставка
"""авито каменск уральский доставка щебня""";5;Щебень;Купить/доставка
песок каменск уральский стоимость с доставкой;5;Песок;Цена
купить песок камаз в екатеринбурге с доставкой;5;Песок;Купить/доставка
"""песок с доставкой в екатеринбурге""";5;Песок;Купить/доставка
"""купить песок с доставкой екатеринбург""";5;Песок;Купить/доставка
"""песок в екатеринбурге с доставкой""";5;Песок;Купить/доставка
"""купить песок екатеринбург с доставкой""";5;Песок;Купить/доставка
"""песок с доставкой купить екатеринбург""";5;Песок;Купить/доставка
"""песок купить екатеринбург с доставкой""";5;Песок;Купить/доставка
"""песок купить с доставкой екатеринбург""";5;Песок;Купить/доставка
"""куплю песок с доставкой екатеринбург""";5;Песок;Купить/доставка
"""песок цена с доставкой екатеринбург""";5;Песок;Цена
"""песок с доставкой екатеринбург цена""";5;Песок;Цена
"""песок екатеринбург цена с доставкой""";5;Песок;Цена
"""песок с доставкой цена екатеринбург""";5;Песок;Цена
"""песок екатеринбурге с доставкой цена""";5;Песок;Цена
"""екатеринбург песок с доставкой цена""";5;Песок;Цена
"""куб песка с доставкой екатеринбург""";5;Песок;Купить/доставка
"""песок речной с доставкой екатеринбург""";5;Песок;Купить/доставка
"""речной песок с доставкой екатеринбург""";5;Песок;Купить/доставка
"""доставка речного песка в екатеринбурге""";5;Песок;Купить/доставка
"""песок строительный с доставкой екатеринбург""";5;Песок;Купить/доставка
"""строительный песок с доставкой екатеринбург""";5;Песок;Купить/доставка
"""доставка песка в мешках екатеринбург""";5;Песок;Купить/доставка
"""песок в мешках доставка екатеринбург""";5;Песок;Купить/доставка
"""песок крупный с доставкой екатеринбург""";5;Песок;Купить/доставка
"""заказать песок с доставкой екатеринбург""";5;Песок;Купить/доставка
"""каменск шахтинский песок с доставкой""";5;Песок;Купить/доставка
"""пгс с доставкой екатеринбург""";4;ПГС;Купить/доставка
"""песок щебень доставка екатеринбург""";4;Песок;Купить/доставка
"""щебень песок доставка екатеринбург""";4;Песок;Купить/доставка
"""доставка щебня песка екатеринбург""";4;Песок;Купить/доставка
"""доставка песка щебня екатеринбург""";4;Песок;Купить/доставка
"""доставка щебень песок екатеринбург""";4;Песок;Купить/доставка
"""щебень с доставкой екатеринбург""";4;Щебень;Купить/доставка
"""доставка щебня каменск уральский""";4;Щебень;Купить/доставка
"""щебень с доставкой полевской""";4;Щебень;Купить/доставка
"""щебень с доставкой первоуральск""";4;Щебень;Купить/доставка
"""щебень с доставкой сысерть""";4;Щебень;Купить/доставка
"""доставка щебня горный щит""";4;Щебень;Купить/доставка
"""доставка щебня в первоуральске""";4;Щебень;Купить/доставка
"""екатеринбург щебень с доставкой""";4;Щебень;Купить/доставка
"""щебень с доставкой екатеринбурге""";4;Щебень;Купить/доставка
"""щебень екатеринбург с доставкой""";4;Щебень;Купить/доставка
"""доставка щебень цена екатеринбург""";4;Щебень;Цена
"""доставка щебня екатеринбург цена""";4;Щебень;Цена
"""доставка щебня цена екатеринбург""";4;Щебень;Цена
"""щебень доставка екатеринбург цена""";4;Щебень;Цена
"""щебень цена доставка екатеринбург""";4;Щебень;Цена
"""доставка щебня в екатеринбурге""";4;Щебень;Купить/доставка
"""доставки щебня в екатеринбурге""";4;Щебень;Купить/доставка
"""доставка щебень в екатеринбурге""";4;Щебень;Купить/доставка
"""щебень в екатеринбурге доставка""";4;Щебень;Купить/доставка
"""щебень доставка в екатеринбурге""";4;Щебень;Купить/доставка
"""щебень купить доставка екатеринбург""";4;Щебень;Купить/доставка
"""купить щебень доставка екатеринбург""";4;Щебень;Купить/доставка
"""щебень нижний тагил доставка""";4;Щебень;Купить/доставка
"""щебень доставка нижний тагил""";4;Щебень;Купить/доставка
"""доставка щебня нижний тагил""";4;Щебень;Купить/доставка
"""каменск уральский доставка щебня""";4;Щебень;Купить/доставка
"""щебень доставка каменск уральский""";4;Щебень;Купить/доставка
"""доставка щебня каменске уральском""";4;Щебень;Купить/доставка
"""щебень с доставкой каменск""";4;Щебень;Купить/доставка
"""каменск уральск доставка щебня""";4;Щебень;Купить/доставка
"""каменск уральск доставка щебень""";4;Щебень;Купить/доставка
"""доставка щебня первоуральск цена""";4;Щебень;Цена
"""щебень первоуральск доставка цены""";4;Щебень;Купить/доставка
"""щебень с доставкой березовский""";4;Щебень;Купить/доставка
"""щебень березовский с доставкой""";4;Щебень;Купить/доставка
"""щебень цены доставка березовский""";4;Щебень;Купить/доставка
"""доставка щебня березовский цена""";4;Щебень;Цена
"""доставка щебня в березовский""";4;Щебень;Купить/доставка
"""щебень сысерть с доставкой""";4;Щебень;Купить/доставка
"""доставка щебня березовский свердловская""";4;Щебень;Купить/доставка
"""доставка горный щит щебень""";4;Щебень;Купить/доставка
"""горный щит доставка щебня""";4;Щебень;Купить/доставка
"""щебень ревда с доставкой""";4;Щебень;Купить/доставка
"""щебень с доставкой ревда""";4;Щебень;Купить/доставка
"""доставка щебня в асбесте""";4;Щебень;Купить/доставка
"""щебень доставкой верхняя пышма""";4;Щебень;Купить/доставка
"""верхняя пышма доставка щебня""";4;Щебень;Купить/доставка
"""доставка щебня верхняя пышма""";4;Щебень;Купить/доставка
"""доставка щебень верхняя пышма""";4;Щебень;Купить/доставка
"""щебень доставка по екатеринбургу""";4;Щебень;Купить/доставка
"""доставка щебня по екатеринбургу""";4;Щебень;Купить/доставка
"""щебень доставка верхняя пышма""";4;Щебень;Купить/доставка
"""щебень верхняя пышма доставка""";4;Щебень;Купить/доставка
"""щебень с доставкой белоярский""";4;Щебень;Купить/доставка
"""щебень отсев доставка екатеринбург""";4;Отсев;Купить/доставка
"""верхняя салда доставка щебня""";4;Щебень;Купить/доставка
"""доставка щебень белоярский район""";4;Щебень;Купить/доставка
"""доставка щебень отсев екатеринбург""";4;Отсев;Купить/доставка
"""доставка щебня ревда цены""";4;Щебень;Купить/доставка
"""доставка щебня отсева екатеринбург""";4;Отсев;Купить/доставка
"""доставка отсев щебень екатеринбург""";4;Отсев;Купить/доставка
"""доставка щебня первоуральск авито""";4;Щебень;Купить/доставка
"""авито екатеринбург доставка щебня""";4;Щебень;Купить/доставка
"""щебень с доставкой арамиль""";4;Щебень;Купить/доставка
"""щебень с доставкой среднеуральск""";4;Щебень;Купить/доставка
"""щебень арамиль с доставкой""";4;Щебень;Купить/доставка
"""доставка щебня газель екатеринбург""";4;Щебень;Купить/доставка
"""доставка щебня с дегтярска""";4;Щебень;Купить/доставка
"""доставка щебня екатеринбург газель""";4;Щебень;Купить/доставка
"""доставка щебня екатеринбург стоимость""";4;Щебень;Цена
"""щебень екатеринбург доставка жд""";4;Щебень;Купить/доставка
"""щебень отсев доставка березовский""";4;Отсев;Купить/доставка
"""щебень билимбай с доставкой""";4;Щебень;Купить/доставка
"""стоимость доставки щебня екатеринбург""";4;Щебень;Цена
"""доставка нерудных материалов екатеринбург""";4;Прочее;Купить/доставка
"""екатеринбург песок с доставкой""";4;Песок;Купить/доставка
"""песок с доставкой екатеринбург""";4;Песок;Купить/доставка
"""песок с доставкой екатеринбурге""";4;Песок;Купить/доставка
"""песок екатеринбург с доставкой""";4;Песок;Купить/доставка
"""доставка песка в екатеринбурге""";4;Песок;Купить/доставка
"""песок доставка в екатеринбурге""";4;Песок;Купить/доставка
"""купить песок доставка екатеринбург""";4;Песок;Купить/доставка
"""доставка песка екатеринбург цена""";4;Песок;Цена
"""песок доставка цена екатеринбург""";4;Песок;Цена
"""екатеринбург песок речной доставка""";4;Песок;Купить/доставка
"""доставка речного песка екатеринбург""";4;Песок;Купить/доставка
"""речной песок доставка екатеринбург""";4;Песок;Купить/доставка
"""песок каменск уральский доставка""";4;Песок;Купить/доставка
"""доставка песка каменск уральский""";4;Песок;Купить/доставка
"""доставка песка нижний тагил""";4;Песок;Купить/доставка
"""каменск шахтинский доставка песка""";4;Песок;Купить/доставка
"""песок полевской с доставкой""";4;Песок;Купить/доставка
"""доставка песка в невьянске""";4;Песок;Купить/доставка
"""песок невьянск с доставкой""";4;Песок;Купить/доставка
"""песок березовский с доставкой""";4;Песок;Купить/доставка
"""доставка песка в асбесте""";4;Песок;Купить/доставка
"""доставка песка в асбест""";4;Песок;Купить/доставка
"""доставка песка каменск шахтинский""";4;Песок;Купить/доставка
"""песок доставка мешок екатеринбург""";4;Песок;Купить/доставка
"""заказать песок екатеринбург доставка""";4;Песок;Купить/доставка
"""пгс доставка екатеринбург""";3;ПГС;Купить/доставка
"""пгс екатеринбург доставка""";3;ПГС;Купить/доставка
"""доставка пгс екатеринбург""";3;ПГС;Купить/доставка
"""доставка щебня екатеринбург""";3;Щебень;Купить/доставка
"""щебень доставка екатеринбург""";3;Щебень;Купить/доставка
"""доставка щебень екатеринбург""";3;Щебень;Купить/доставка
"""доставка щебня екб""";3;Щебень;Купить/доставка
"""билимбай доставка щебня""";3;Щебень;Купить/доставка
"""доставка щебня первоуральск""";3;Щебень;Купить/доставка
"""доставка щебня полевской""";3;Щебень;Купить/доставка
"""щебень ревда доставка""";3;Щебень;Купить/доставка
"""доставка щебень асбест""";3;Щебень;Купить/доставка
"""щебень доставка сысерть""";3;Щебень;Купить/доставка
"""доставка щебня арамиль""";3;Щебень;Купить/доставка
"""екатеринбург доставка щебня""";3;Щебень;Купить/доставка
"""екатеринбург щебень доставка""";3;Щебень;Купить/доставка
"""щебень доставка екатеринбурге""";3;Щебень;Купить/доставка
"""щебень екатеринбург доставка""";3;Щебень;Купить/доставка
"""доставка щебень первоуральск""";3;Щебень;Купить/доставка
"""первоуральск доставка щебня""";3;Щебень;Купить/доставка
"""первоуральск щебень доставка""";3;Щебень;Купить/доставка
"""щебень доставка первоуральск""";3;Щебень;Купить/доставка
"""щебень первоуральск доставка""";3;Щебень;Купить/доставка
"""доставка щебень березовский""";3;Щебень;Купить/доставка
"""доставка щебня березовский""";3;Щебень;Купить/доставка
"""березовский доставка щебня""";3;Щебень;Купить/доставка
"""щебень доставка березовский""";3;Щебень;Купить/доставка
"""щебень доставка полевской""";3;Щебень;Купить/доставка
"""полевской доставка щебня""";3;Щебень;Купить/доставка
"""доставка щебня ревда""";3;Щебень;Купить/доставка
"""сысерть доставка щебня""";3;Щебень;Купить/доставка
"""щебень сысерть доставка""";3;Щебень;Купить/доставка
"""ревда щебень доставка""";3;Щебень;Купить/доставка
"""ревда доставка щебня""";3;Щебень;Купить/доставка
"""доставка щебень сысерть""";3;Щебень;Купить/доставка
"""асбест доставка щебня""";3;Щебень;Купить/доставка
"""щебень асбест доставка""";3;Щебень;Купить/доставка
"""щебень доставка арамиль""";3;Щебень;Купить/доставка
"""щебень доставка среднеуральск""";3;Щебень;Купить/доставка
"""щебень арамиль доставка""";3;Щебень;Купить/доставка
"""среднеуральск доставка щебня""";3;Щебень;Купить/доставка
"""арамиль щебень доставка""";3;Щебень;Купить/доставка
"""арамиль доставка щебня""";3;Щебень;Купить/доставка
"""дегтярск доставка щебня""";3;Щебень;Купить/доставка
"""ирбит доставка щебня""";3;Щебень;Купить/доставка
"""доставка щебень арамиль""";3;Щебень;Купить/доставка
"""доставка щебня дегтярск""";3;Щебень;Купить/доставка
"""доставка щебня богданович""";3;Щебень;Купить/доставка
"""доставка щебня заречный""";3;Щебень;Купить/доставка
"""доставка щебень заречный""";3;Щебень;Купить/доставка
"""доставка щебня кировград""";3;Щебень;Купить/доставка
"""богданович доставка щебня""";3;Щебень;Купить/доставка
"""щебень самосвал екатеринбург""";3;Щебень;Инфо
"""доставка песка екатеринбург""";3;Песок;Купить/доставка
"""доставка песка березовский""";3;Песок;Купить/доставка
"""доставка песка сысерть""";3;Песок;Купить/доставка
"""песок доставка арамиль""";3;Песок;Купить/доставка
"""екатеринбург доставка песка""";3;Песок;Купить/доставка
"""доставка песка екатеринбурге""";3;Песок;Купить/доставка
"""доставка песок екатеринбург""";3;Песок;Купить/доставка
"""песок доставка екатеринбург""";3;Песок;Купить/доставка
"""песок екатеринбург доставка""";3;Песок;Купить/доставка
"""пески екатеринбург доставка""";3;Прочее;Купить/доставка
"""доставка песка ревда""";3;Песок;Купить/доставка
"""песок доставка березовский""";3;Песок;Купить/доставка
"""песок березовский доставка""";3;Песок;Купить/доставка
"""березовский доставка песка""";3;Песок;Купить/доставка
"""доставка песка невьянск""";3;Песок;Купить/доставка
"""доставка песка кировград""";3;Песок;Купить/доставка
