Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"полимерпесчаная плитка для садовых дорожек цена";9;6;;;183;102;5;3;3;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya"
"цпс м100 купить";10;3;;;179;88;10;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/147647470-smes_peschano_tsementnaya_m_100_letnyaya_25_kg"
"плитка калифорния";7;2;;;4314;170;127;4;3;4.6;0;"www.betongrupp-ekb.ru";"/catalog/k-5576709-kaliforniya"
"2 пб 13 1";7;4;;;263;57;13;3;3;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/153530462-peremychka_bruskovaya_zhelezobetonnaya_2pb_13_1"
"эбдк с";7;2;;;363;36;27;3;3;0.3;5000;"www.betongrupp-ekb.ru";"/goods/188644804-emulsiya_bitumnaya_dorozhnaya_ebdk_s_gost_r_58952_1_2020"
"отсев в мешках купить в екатеринбурге цена";10;7;;1;27;4;21;4;3;20.4;0;"www.betongrupp-ekb.ru";"/catalog/k-223143-otsev/ph:757959_v-mieshkakh"
"шифр 5916";8;2;;;48;9;7;3;3;0.3;0;"www.betongrupp-ekb.ru";"/goods/153310840-lestnichny_marsh_1lm_28_11_14_4_2720_1050_258_shifr_5916"
"мпл 1 лоток";43;3;;;149;3;9;3;3;0.3;0;"www.betongrupp-ekb.ru";"/goods/64453519-lotki_tip_ii_h_1_25_1500kh700kh1350"
"скальный грунт фракции";12;3;;;181;10;19;3;3;20.5;230000;"www.betongrupp-ekb.ru";"/catalog/k-223142-skalny_grunt_i_dresva"
"кцп 1 10 1 размеры";33;5;;;23;11;3;3;3;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/26984471-plita_perekrytiya_kolodtsa_ktsp_1_10_2"
"лоток л11 15 2";10;4;;;54;30;8;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/148102270-lotok_teplotrassy_l_11_15_2_seriya_3_006_1_2_87"
"гп 5 бордюр";4;3;;;125;19;7;3;3;38.5;2000000;"www.betongrupp-ekb.ru";"/goods/168731651-bordyur_granitny_gp_5_ot_proizvoditelya"
"блоки для столбов забора купить";2;5;;;974;129;24;3;3;74.1;839000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni"
"плита дорожная 6000х2000х140";12;3;;;919;95;40;6;3;9.9;1000000;"www.betongrupp-ekb.ru";"/goods/31232671-plita_dorozhnaya_pdn_6000_2000_140"
"люк чугунный тип л а15";48;5;;;186;22;18;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-3695159-lyuki_chugunnyye_dlya_smotrovykh_kolodtsev_dozhdepriyemniki_gost_3634_99"
"полистиролбетон цена за 1 м3";11;5;;;110;82;4;4;3;14.3;4000000;"www.betongrupp-ekb.ru";"/goods/55135219-polistirolbeton_tovarny_rastvor"
"полифракционный песок купить";36;3;;;91;11;6;3;3;0.3;760000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"навоз купить в екатеринбурге с доставкой цена";44;7;;1;22;3;22;3;3;8.8;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223141-plodorodny_grunt_chernozem"
"пб1";21;1;;;551;42;20;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/19030381-peremychka_bruskovaya_1pb10_1p"
"цена пеноблока 200х300х600 за куб";39;5;;;1254;41;76;3;3;45.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok"
"пп20";13;1;;;1510;125;35;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/18920547-plita_perekrytiya_kolodtsa_pp_20_1"
"самосвал чернозема цена";18;3;;;17;9;3;3;3;0.3;847000;"www.betongrupp-ekb.ru";"/catalog/k-223141-plodorodny_grunt_chernozem"
"блоки из легкого бетона";3;4;;;121;6;20;3;3;0.3;642000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok"
"гранитная брусчатка";8;2;;;2322;211;51;29;3;52.7;159000;"www.betongrupp-ekb.ru";"/catalog/k-9095919-granitnaya_bruschatka_pilenaya"
"купить песок в екатеринбурге в мешках";7;6;;1;83;3;50;8;3;31.7;760000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg"
"плита дорожная 6000х2000х140 цена";12;4;;;467;126;23;4;3;22;1000000;"www.betongrupp-ekb.ru";"/goods/31232671-plita_dorozhnaya_pdn_6000_2000_140"
"гравийная смесь";8;2;;;10214;20;202;3;3;0.3;228000;"www.betongrupp-ekb.ru";"/catalog/k-5577924-peschano_graviynaya_smes_pgs"
"плитка тротуарная 500х500";6;3;;;424;33;15;3;3;6.2;997000;"www.betongrupp-ekb.ru";"/goods/154808516-trotuarnaya_plitka_gladkaya_500kh500kh50_tsvet_sery"
"1пп20 1 размеры";35;3;;;51;29;5;3;3;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/18920547-plita_perekrytiya_kolodtsa_pp_20_1"
"армированная тротуарная плитка";10;3;;;382;14;4;4;3;0.3;199000;"www.betongrupp-ekb.ru";"/goods/86971293-trotuarnaya_plitka_kvadrat_500kh500kh100_seraya"
"пп 10 2 плита перекрытия";11;5;;;315;42;15;7;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920544-plita_perekrytiya_kolodtsa_pp_10_2"
"купить полистиролбетон";7;2;;;2247;16;241;13;3;194.5;752000;"www.betongrupp-ekb.ru";"/goods/55135219-polistirolbeton_tovarny_rastvor"
"полимерпесчаная доска";14;2;;;361;34;15;3;3;25.2;287000;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya"
"скала доставка";21;2;;;136;8;29;3;3;2.5;481000;"www.betongrupp-ekb.ru";"/goods/23888433-skala_s_dostavkoy"
"бетон с завода";14;3;;;754;18;7;3;3;63;10000;"www.betongrupp-ekb.ru";"/"
"бордюр гп1";1;2;;;89;10;11;4;3;7.8;3000000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-1"
"антибетон купить в екатеринбурге";48;4;;1;7;3;9;9;3;16.7;878000;"www.betongrupp-ekb.ru";"/catalog/k-223132-betonno_rastvornyye_smesi"
"лотки железобетонные водоотводные типы размеры цена";9;6;;;14;12;3;3;3;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny"
"блок удб";4;2;;;111;9;16;7;3;0.3;386000;"www.betongrupp-ekb.ru";"/catalog/k-472367-unifitsirovanny_dyrchaty_blok_udb"
"плитка гранитная 600х300х20 цена";10;4;;;92;48;4;3;3;0.3;17000;"www.betongrupp-ekb.ru";"/goods/169644820-plita_granitnaya_600_300_20_mm_shlifovannaya_iz_yuzhno_sultayevskogo_granita"
"бр 300";8;2;;;971;7;59;3;3;0.3;442000;"www.betongrupp-ekb.ru";"/catalog/k-476448-kamni_zhelezobetonnyye_bortovyye/ph:404721_br-300-tochka-30-tochka-15"
"оп 4 опорная подушка";7;4;;;316;34;19;4;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/153576414-opornaya_podushka_op_4_4t"
"cn68";21;1;;;224;16;11;3;3;0.3;363000;"www.betongrupp-ekb.ru";"/goods/126195456-smes_cn_68_tserezit_tonkosloynaya_samovyravnivayushchayasya_1_15mm_25_kg_1up_48sh"
"столбик сс 1";7;3;;;199;7;11;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/19030456-stolbik_signalny_ss_1"
"фбс 400х200х200";48;2;;;113;12;3;3;3;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/18920181-fundamentny_blok_fbs_24_5_3"
"пп 15 2 плита перекрытия";10;5;;;219;36;10;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920546-plita_perekrytiya_kolodtsa_pp_15_2"
"плитка рваный камень";5;3;;;630;24;20;2;2;20.2;283000;"www.betongrupp-ekb.ru";"/catalog/k-4102598-dekorativny_iskusstvenny_kamen/ph:404781_rvanyi-kamien"
"бетонный лоток для кабеля";5;4;;;185;16;4;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-10560986-lotki_kabelnyye"
"пб 59 15 8";4;4;;;34;16;3;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22207080-plita_perekrytiya_pb_59_15_8"
"ромбовидная плитка";13;2;;;118;16;4;2;2;0.3;207000;"www.betongrupp-ekb.ru";"/catalog/k-5576718-romb"
"опоры лэп деревянные пропитанные цена";8;5;;;13;13;3;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye"
"купить бетонные лотки";7;3;;;5558;28;150;4;2;80.1;877000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny"
"тротуарные бордюры размеры и цены";46;5;;;101;18;3;3;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80"
"п образные бетонные блоки для канавы купить";17;7;;;40;25;2;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny"
"бетонная полусфера для парковки";4;4;;;582;21;16;2;2;46;271000;"www.betongrupp-ekb.ru";"/catalog/k-5576699-polusfery"
"тротуарная плитка екатеринбург от производителя купить в екатеринбурге";7;8;;1;72;2;47;47;2;661.5;888000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"куб песка стоимость";29;3;;;2485;240;43;5;2;12.7;0;"www.betongrupp-ekb.ru";"/goods/24486690-pesok_rechnoy_kyshtymski_s_dostavkoy_po_yekaterinburgu_obem_6_kub_metrov"
"бетонные трубы";7;2;;;13738;74;165;2;2;11.4;234000;"www.betongrupp-ekb.ru";"/catalog/k-474219-truby_zhelezobetonnyye_beznapornyye"
"плитка тротуарная 40мм";10;3;;;196;4;4;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"купить тактильную плитку";8;3;;;1783;36;60;8;2;29.2;0;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya"
"люки гост 3634 99";8;4;;;2131;3;150;2;2;0.3;440000;"www.betongrupp-ekb.ru";"/catalog/k-3695159-lyuki_chugunnyye_dlya_smotrovykh_kolodtsev_dozhdepriyemniki_gost_3634_99"
"труба бнт 400";7;3;;;84;8;7;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/goods/145565279-truba_asbestotsementnaya_bnt_400"
"тонна асфальта цена";13;3;;;2377;68;55;4;2;30.8;0;"www.betongrupp-ekb.ru";"/catalog/k-805677-goryachaya_asfaltobetonnaya_smes"
"тротуарная плитка толщиной 30 мм";8;5;;;188;6;5;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/124578517-trotuarnaya_plitka_shagren_300kh300kh30_seraya"
"бетон в15 f200 w4";9;4;;;36;9;2;2;2;0.3;2000;"www.betongrupp-ekb.ru";"/goods/22052699-beton_m_200_v15"
"бетонгруппстрой екатеринбург";9;2;;1;6;3;2;2;2;73.7;0;"www.betongrupp-ekb.ru";"/catalog"
"стк 5";5;2;;;946;43;20;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/137870494-stenka_portalnaya_stk5"
"лоток betomax";46;2;;;2220;28;76;4;2;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny"
"столбики сигнальные железобетонные сс 1";8;5;;;41;10;4;4;2;0.3;0;"www.betongrupp-ekb.ru";"/goods/19030456-stolbik_signalny_ss_1"
"заводы по производству тротуарной плитки";6;5;;;690;19;22;2;2;134.4;532000;"www.betongrupp-ekb.ru";"/pages/16173-trotuarnaya-plitka"
"брусчатка тротуарная цена";7;3;;;7068;445;18;2;2;53.4;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576703-bruschatka"
"бетон в 22 5 цена с доставкой";10;7;;;19;12;2;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-5576663-m300_v22_5"
"блок бетонный стеновой";1;3;;;1063;20;13;5;2;58.2;323000;"www.betongrupp-ekb.ru";"/catalog/k-5576737-stenovoy_blok"
"моëт цена";45;2;;;53;20;2;2;2;0;2000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"бордюр тротуарный цена";7;3;;;7521;138;129;11;2;49.6;0;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen"
"поребрик тротуарный размеры";12;3;;;514;59;5;2;2;0.3;662000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen"
"купить строительный песок";11;3;;;6901;66;98;17;2;71.1;2000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"дорожная плитка для дачи";14;4;;;243;46;5;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"песок для песочницы в леруа мерлен";23;6;;;40;5;3;2;2;16.4;2000;"www.betongrupp-ekb.ru";"/goods/20865540-pesok_dlya_pesochnits_sertifitsirovanny"
"цена шлакоблока за штуку";13;4;;;3381;81;18;7;2;24.1;806000;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"гп1 бордюр";11;2;;;217;25;30;6;2;4.9;2000;"www.betongrupp-ekb.ru";"/goods/168678125-bordyur_gp_1_iz_isetskogo_granita"
"тактильная плитка 500 500 50";1;5;;;137;52;5;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya"
"бордюр купить екатеринбург";5;3;;1;949;3;614;7;2;147.8;2000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen"
"цена блоков фбс";5;3;;;4238;22;77;2;2;16.9;928000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"квадрат 200х200";20;2;;;145;8;8;3;2;14.7;2000000;"www.betongrupp-ekb.ru";"/goods/61986528-trotuarnaya_plitka_kvadrat_200kh200kh60_seraya"
"л7 8 2 лоток железобетонный";9;5;;;35;16;4;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/148103682-lotok_teplotrassy_l_7_8_2_seriya_3_006_1_2_87"
"бордюр гранитный гп 1";12;4;;;143;11;12;4;2;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-1"
"ф1 фундамент";28;2;;;1085;19;30;9;2;31.7;4000000;"www.betongrupp-ekb.ru";"/goods/27311921-fundament_f1_5kh1_5_2"
"96 36";7;2;;;2886;16;51;2;2;0.3;780000;"www.betongrupp-ekb.ru";"/goods/187531823-kolonna_zhelezobetonnaya_k_96_36_9900kh500kh600_mm"
"ту 45 1418 83";4;4;;;42;14;2;2;2;0.3;827000;"www.betongrupp-ekb.ru";"/catalog/k-5579394-kolodtsy_svyazi/ph:404749_kks&404752_tu-45-tochka-1418-83"
"плитка калифорния 300х300х30";5;3;;;1007;90;37;3;2;20.9;2000000;"www.betongrupp-ekb.ru";"/goods/62058270-trotuarnaya_plitka_kaliforniya_300kh300kh30_krasnaya"
"п 9 15 плита";6;4;;;83;8;3;2;2;0.3;14000;"www.betongrupp-ekb.ru";"/goods/18920311-plita_perekrytiya_teplotrass_p_9_8"
"опора св 95 3с";5;4;;;83;12;3;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/31251902-stoyka_opory_lep_sv_95_3"
"стоимость бетонных блоков";9;3;;;230;7;9;2;2;18.1;527000;"www.betongrupp-ekb.ru";"/catalog/k-10042736-stroitelnyye_bloki"
"фл 24";21;2;;;12814;67;222;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/26944694-fundament_lentochny_fl_24_12_2"
"кцп 1 15 2";10;4;;;148;31;5;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/26984480-plita_perekrytiya_kolodtsa_ktsp_1_15_2"
"плита п 8 8";9;4;;;1277;43;23;8;2;47;3000000;"www.betongrupp-ekb.ru";"/goods/173457301-plita_perekrytiya_lotkov_p8_8_2990kh1160kh100_870_kg"
"купить пенек из дерева";50;4;;;75;9;2;2;2;0.3;818000;"www.betongrupp-ekb.ru";"/goods/62282444-trotuarnaya_plitka_penek_dereva_tsvetnaya"
"стк8";9;1;;;50;18;3;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/137870498-stenka_portalnaya_stk8"
"люк полимерно песчаный тип т 15 тн";12;7;;;3;2;3;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/66722876-lyuk_polimerno_peschany_tip_t"
"плита жби размеры цена";5;4;;;395;20;5;2;2;24.3;19000;"www.betongrupp-ekb.ru";"/catalog/k-5579461-plity"
"1гп бортовой камень";6;3;;;258;14;33;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/168678125-bordyur_gp_1_iz_isetskogo_granita"
"гп5 бордюр";5;2;;;58;12;6;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/168731651-bordyur_granitny_gp_5_ot_proizvoditelya"
"в 22 5 бетон марка";11;5;;;106;19;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/22052709-beton_m_300_v22_5"
"гифас тротуарная плитка";45;3;;;4;2;4;2;2;0.3;187000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"канализационный люк екатеринбург";41;3;;1;106;3;77;2;2;0.3;210000;"www.betongrupp-ekb.ru";"/goods/66717836-lyuk_kanalizatsionny_tip_l"
"щебень фр 20 40 цена за м3";13;7;;;81;7;4;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/24376971-shcheben_fr_20_40_s_dostavkoy_po_yekaterinburgu_obem_3_kub_metra"
"кольцо кс 7 9";6;4;;;400;36;19;2;2;17.6;3000000;"www.betongrupp-ekb.ru";"/goods/18920531-koltso_kolodeznoye_kts_7_9"
"kns obl 60 15";48;4;;;113;26;13;4;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22286247-plita_perekrytiya_pk_60_15_8"
"оптопорт усо 2 купить";26;4;;;23;15;3;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18989263-stoyki_opor_uso_2a"
"люк пп 630 тип л";8;5;;;39;6;3;2;2;0.3;817000;"www.betongrupp-ekb.ru";"/goods/66722667-lyuk_polimerno_peschany_tip_l"
"8пб 13 1";10;3;;;133;24;2;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/153530498-peremychka_bruskovaya_zhelezobetonnaya_8pb_13_1"
"стойка опоры св 95 3 5 а";4;7;;;47;12;3;3;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18989276-stoyka_opory_lep_sv_95_3_5"
"б 2 22 40";5;4;;;1531;13;20;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/128786657-blok_betonny_b_2_22_40"
"портландцемент цена за тонну";9;4;;;67;10;2;2;2;9.2;759000;"www.betongrupp-ekb.ru";"/catalog/k-8712517-tsement"
"л10 8 2";5;3;;;118;35;4;3;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920272-lotok_zhelezobetonny_l_10_8"
"рваный камень для наружной отделки";5;5;;;136;53;3;3;2;0.3;258000;"www.betongrupp-ekb.ru";"/catalog/k-8118716-kirpich_betonny_gladki/ph:13613_rvanyi-kamien"
"купить асфальт в екатеринбурге";9;4;;1;183;2;104;10;2;43.7;1000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi"
"затирка bergauf kitt";25;3;;;216;13;16;2;2;13.4;12000;"www.betongrupp-ekb.ru";"/goods/126102098-zatirka_seraya_na_tsementnoy_osnove_2kg_kitt_bergauf_1up_10sht"
"колонны жби";4;2;;;708;77;21;2;2;0.3;311000;"www.betongrupp-ekb.ru";"/catalog/k-9830281-kolonny_zhelezobetonnyye"
"купить кольцо железобетонное для колодца";44;5;;;360;22;9;4;2;12.1;756000;"www.betongrupp-ekb.ru";"/catalog/k-475567-kolodtsy_svyazi"
"бр 100х20х8";5;2;;;85;18;4;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/62029522-kamen_bordyurny_1000kh200kh80_sery"
"лотки железобетонные";7;2;;;7086;84;226;10;2;48.3;167000;"www.betongrupp-ekb.ru";"/catalog/k-5579385-lotki_zhbi"
"блок бетонный б 6";30;4;;;81;22;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/128786828-blok_betonny_b_2_20_25"
"б 1 20 75";7;4;;;3878;13;57;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/27537940-blok_betonny_b_1_20_75"
"плитка под брусчатку напольная";19;4;;;19;7;3;3;2;43.5;177000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"кцо 1 объем бетона м3";12;5;;;56;45;3;3;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/26984204-koltso_opornoye_ktso_1"
"бардюры или бордюры цена";10;4;;;153;138;3;3;2;7.8;675000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen"
"лсн 12";8;2;;;85;17;6;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22350921-stupen_lestnichnaya_lsn_12"
"сертификат на блоки фбс";34;4;;;33;10;3;2;2;0.3;340000;"www.betongrupp-ekb.ru";"/catalog/k-5578843-fbs_8"
"муфта бнм 150 150";14;4;;;129;11;14;3;2;0.3;411000;"www.betongrupp-ekb.ru";"/goods/145566602-mufta_asbestotsementnaya_bnm_150"
"плитка фантазия";7;2;;;328;8;6;2;2;0.3;237000;"www.betongrupp-ekb.ru";"/catalog/k-5576725-fantaziya"
"фундаментные блоки 300х300х300";10;3;;;43;6;2;2;2;17.1;0;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"лоток бетонный с крышкой";4;4;;;277;16;13;2;2;0.3;243000;"www.betongrupp-ekb.ru";"/catalog/k-5579385-lotki_zhbi"
"тротуарная плитка 40х40";7;3;;;2149;132;17;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/62054294-trotuarnaya_plitka_8_kirpichey_400kh400kh50_seraya"
"битумная эмульсия дорожная";1;3;;;1556;14;46;8;2;12.2;0;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora"
"брусчатка бетонная";2;2;;;2186;73;29;2;2;0.3;179000;"www.betongrupp-ekb.ru";"/catalog/k-5576703-bruschatka"
"стойка железобетонная св 95 3";12;5;;;134;27;10;4;2;21.3;3000000;"www.betongrupp-ekb.ru";"/goods/31251902-stoyka_opory_lep_sv_95_3"
"горячий асфальт";5;2;;;3596;98;73;4;2;30.2;0;"www.betongrupp-ekb.ru";"/catalog/k-805677-goryachaya_asfaltobetonnaya_smes"
"плитка 300 300";13;3;;;9625;15;317;5;2;63.6;435000;"www.betongrupp-ekb.ru";"/goods/72594946-trotuarnaya_plitka_gladkaya_300kh300kh30_seraya"
"щебень гранитный с доставкой";9;4;;;1828;207;12;2;2;15.1;432000;"www.betongrupp-ekb.ru";"/catalog/k-223145-shcheben"
"затирка серебристо серая";30;3;;;1284;28;48;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-7079827-zatirki/ph:404731_sieriebristo-sieryi&404737_2-kgh"
"затирка багамы";10;2;;;1581;30;53;2;2;52.2;183000;"www.betongrupp-ekb.ru";"/goods/126081013-zatirka_bagama_dlya_shvov_10_mm_vodoottalkivayushchaya_antigribkovaya_2kg_8sht_up"
"парапет купить";27;2;;;1189;25;18;2;2;0.3;734000;"www.betongrupp-ekb.ru";"/catalog/k-8022874-plita_parapetnaya"
"щебеночно песчаная смесь с4 цена";19;5;;;33;18;2;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-5577925-peschano_shchebenochnaya_smes_pshchs"
"купить кирпич для столбов забора";12;5;;;435;25;17;2;2;0.3;742000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni"
"гравий продается в больших мешках по 2 м3";41;8;;;269;3;3;2;2;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/155875649-otsev_granitny_v_big_begakh_po_1000_kg"
"плиты перекрытия теплотрасс";10;3;;;635;14;15;2;2;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-474180-plity_perekrytiya_lotkov"
"шлакоблок цена за штуку";12;4;;;2688;243;13;7;2;19.6;780000;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"лоток 200х200";25;2;;;115;11;6;2;2;0.3;867000;"www.betongrupp-ekb.ru";"/goods/86971335-lotok_vodootvodny_vodostok_tsvet_sery"
"резиновый асфальт";39;2;;;2240;120;30;3;2;5.2;0;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes"
"жби лотки";6;2;;;1794;38;33;9;2;57.7;273000;"www.betongrupp-ekb.ru";"/catalog/k-5579385-lotki_zhbi"
"плита п12д 15";35;3;;;26;5;2;2;2;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/26495875-plita_perekrytiya_teplotrass_p_12_15"
"плитка тротуарная 300х300х30 купить в екатеринбурге недорого от производителя";5;9;;1;27;4;17;8;2;180.6;0;"www.betongrupp-ekb.ru";"/goods/62058270-trotuarnaya_plitka_kaliforniya_300kh300kh30_krasnaya"
"цементно песчаный раствор м100";10;4;;;983;144;19;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/36381132-rastvor_kladochny_na_peske_m100"
"лотки для прокладки кабелей";34;4;;;1695;84;33;2;2;12.8;0;"www.betongrupp-ekb.ru";"/catalog/k-476459-lotki_dlya_nazemnoy_prokladki_kabeley"
"плита перекрытия 1пп20 1";5;4;;;131;35;4;2;2;10.9;4000000;"www.betongrupp-ekb.ru";"/goods/26984456-plita_perekrytiya_kolodtsa_1pp_20_1"
"плитка тротуарная 500х500х50 цена за штуку";5;6;;;679;168;5;2;2;0.3;0;"www.betongrupp-ekb.ru";"/goods/124541501-trotuarnaya_plitka_taktilnaya_500kh500kh50_tsvetnaya"
"сколько стоит пеноблок 600х300х200 за штуку в екатеринбурге";27;8;1;1;10;4;5;4;2;18.7;2000000;"www.betongrupp-ekb.ru";"/catalog/k-7830606-penoblok"
"белая щебенка";44;2;;;246;19;2;2;2;0.3;450000;"www.betongrupp-ekb.ru";"/goods/31538414-cherny_shcheben"
"св164";11;1;;;489;13;11;2;2;0.3;229000;"www.betongrupp-ekb.ru";"/goods/18989282-stoyka_opory_lep_sv_164_20"
"битум нефтяной дорожный бнд 70 100";13;6;;;180;19;3;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8408013-bitum_neftyanoy_dorozhny_bnd/ph:404763_bnd"
"облегченные плиты перекрытия размеры цены";14;5;;;52;20;2;2;2;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5579461-plity"
"перемычка брусковая 1пб10 1";6;4;;;47;9;9;5;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/19030381-peremychka_bruskovaya_1pb10_1p"
"стоимость фбс 24 4 6";10;5;;;55;20;2;2;2;46.3;3000000;"www.betongrupp-ekb.ru";"/goods/22173707-fundamentny_blok_fbs_24_4_6"
"цпр м150 цена за м3";8;5;;;70;25;2;2;2;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/36381079-rastvor_stroitelny_na_otseve_m_150"
